market_time,slug,poly_outcome,binance_momentum,binance_direction,binance_close,momentum_pct,correct_prediction,abs_momentum,momentum_size
2026-02-27 14:30:00+00:00,sol-updown-5m-1772202600,UP,0.2179704528941715,UP,82.76,0.2179704528941715,True,0.2179704528941715,Medium (0.15-0.5%)
2026-02-27 14:35:00+00:00,sol-updown-5m-1772202900,UP,0.3141614306428116,UP,83.02,0.3141614306428116,True,0.3141614306428116,Medium (0.15-0.5%)
2026-02-27 14:40:00+00:00,sol-updown-5m-1772203200,DOWN,0.024090580583004374,UP,83.04,0.024090580583004374,False,0.024090580583004374,Tiny (<0.05%)
2026-02-27 14:45:00+00:00,sol-updown-5m-1772203500,DOWN,-0.6262042389210142,DOWN,82.52,-0.6262042389210142,True,0.6262042389210142,Large (>0.5%)
2026-02-27 14:50:00+00:00,sol-updown-5m-1772203800,DOWN,-0.16965584100824113,DOWN,82.38,-0.16965584100824113,True,0.16965584100824113,Medium (0.15-0.5%)
2026-02-27 14:55:00+00:00,sol-updown-5m-1772204100,UP,-0.06069434328720218,DOWN,82.33,-0.06069434328720218,False,0.06069434328720218,Small (0.05-0.15%)
2026-02-27 15:00:00+00:00,sol-updown-5m-1772204400,UP,0.5951657961860742,UP,82.82,0.5951657961860742,True,0.5951657961860742,Large (>0.5%)
2026-02-27 15:05:00+00:00,sol-updown-5m-1772204700,UP,0.08452064718667882,UP,82.89,0.08452064718667882,True,0.08452064718667882,Small (0.05-0.15%)
2026-02-27 15:10:00+00:00,sol-updown-5m-1772205000,DOWN,0.03619254433586818,UP,82.92,0.03619254433586818,False,0.03619254433586818,Tiny (<0.05%)
2026-02-27 15:15:00+00:00,sol-updown-5m-1772205300,DOWN,0.08441871683549587,UP,82.99,0.08441871683549587,False,0.08441871683549587,Small (0.05-0.15%)
2026-02-27 15:20:00+00:00,sol-updown-5m-1772205600,DOWN,-0.19279431256777516,DOWN,82.83,-0.19279431256777516,True,0.19279431256777516,Medium (0.15-0.5%)
2026-02-27 15:25:00+00:00,sol-updown-5m-1772205900,UP,-0.07243752263672856,DOWN,82.77,-0.07243752263672856,False,0.07243752263672856,Small (0.05-0.15%)
2026-02-27 15:30:00+00:00,sol-updown-5m-1772206200,DOWN,0.07249003262051743,UP,82.83,0.07249003262051743,False,0.07249003262051743,Small (0.05-0.15%)
2026-02-27 15:35:00+00:00,sol-updown-5m-1772206500,UP,-0.2414584087890895,DOWN,82.63,-0.2414584087890895,False,0.2414584087890895,Medium (0.15-0.5%)
2026-02-27 15:40:00+00:00,sol-updown-5m-1772206800,UP,0.060510710395753814,UP,82.68,0.060510710395753814,True,0.060510710395753814,Small (0.05-0.15%)
2026-02-27 15:45:00+00:00,sol-updown-5m-1772207100,DOWN,0.1572327044025102,UP,82.81,0.1572327044025102,False,0.1572327044025102,Medium (0.15-0.5%)
2026-02-27 15:50:00+00:00,sol-updown-5m-1772207400,UP,0.048303345006632095,UP,82.85,0.048303345006632095,True,0.048303345006632095,Tiny (<0.05%)
2026-02-27 15:55:00+00:00,sol-updown-5m-1772207700,DOWN,-0.10863005431501413,DOWN,82.76,-0.10863005431501413,True,0.10863005431501413,Small (0.05-0.15%)
2026-02-27 16:00:00+00:00,sol-updown-5m-1772208000,DOWN,-0.26582890285161775,DOWN,82.54,-0.26582890285161775,True,0.26582890285161775,Medium (0.15-0.5%)
2026-02-27 16:05:00+00:00,sol-updown-5m-1772208300,DOWN,-0.4240368306275848,DOWN,82.19,-0.4240368306275848,True,0.4240368306275848,Medium (0.15-0.5%)
2026-02-27 16:10:00+00:00,sol-updown-5m-1772208600,DOWN,0.02433386056697411,UP,82.21,0.02433386056697411,False,0.02433386056697411,Tiny (<0.05%)
2026-02-27 16:15:00+00:00,sol-updown-5m-1772208900,UP,-0.012163970319901359,DOWN,82.2,-0.012163970319901359,False,0.012163970319901359,Tiny (<0.05%)
2026-02-27 16:20:00+00:00,sol-updown-5m-1772209200,UP,-0.07299270072992976,DOWN,82.14,-0.07299270072992976,False,0.07299270072992976,Small (0.05-0.15%)
2026-02-27 16:25:00+00:00,sol-updown-5m-1772209500,DOWN,0.1460920379839354,UP,82.26,0.1460920379839354,False,0.1460920379839354,Small (0.05-0.15%)
2026-02-27 16:30:00+00:00,sol-updown-5m-1772209800,UP,-0.04862630683200371,DOWN,82.22,-0.04862630683200371,False,0.04862630683200371,Tiny (<0.05%)
2026-02-27 16:35:00+00:00,sol-updown-5m-1772210100,DOWN,-0.18243736317198453,DOWN,82.07,-0.18243736317198453,True,0.18243736317198453,Medium (0.15-0.5%)
2026-02-27 16:40:00+00:00,sol-updown-5m-1772210400,DOWN,-0.35335689045935426,DOWN,81.78,-0.35335689045935426,True,0.35335689045935426,Medium (0.15-0.5%)
2026-02-27 16:45:00+00:00,sol-updown-5m-1772210700,UP,-0.15896307165565596,DOWN,81.65,-0.15896307165565596,False,0.15896307165565596,Medium (0.15-0.5%)
2026-02-27 16:50:00+00:00,sol-updown-5m-1772211000,UP,0.012247397428035402,UP,81.66,0.012247397428035402,True,0.012247397428035402,Tiny (<0.05%)
2026-02-27 16:55:00+00:00,sol-updown-5m-1772211300,DOWN,-0.02449179524858685,DOWN,81.64,-0.02449179524858685,True,0.02449179524858685,Tiny (<0.05%)
2026-02-27 17:00:00+00:00,sol-updown-5m-1772211600,UP,-0.12248897599215375,DOWN,81.54,-0.12248897599215375,False,0.12248897599215375,Small (0.05-0.15%)
2026-02-27 17:05:00+00:00,sol-updown-5m-1772211900,UP,0.14716703458424127,UP,81.66,0.14716703458424127,True,0.14716703458424127,Small (0.05-0.15%)
2026-02-27 17:15:00+00:00,sol-updown-5m-1772212500,DOWN,-0.0979671809943648,DOWN,81.58,-0.0979671809943648,True,0.0979671809943648,Small (0.05-0.15%)
2026-02-27 17:20:00+00:00,sol-updown-5m-1772212800,DOWN,-0.3064476587398872,DOWN,81.33,-0.3064476587398872,True,0.3064476587398872,Medium (0.15-0.5%)
2026-02-27 17:25:00+00:00,sol-updown-5m-1772213100,DOWN,0.06147792942333353,UP,81.38,0.06147792942333353,False,0.06147792942333353,Small (0.05-0.15%)
2026-02-27 17:30:00+00:00,sol-updown-5m-1772213400,UP,-0.024576062914716177,DOWN,81.36,-0.024576062914716177,False,0.024576062914716177,Tiny (<0.05%)
2026-02-27 17:35:00+00:00,sol-updown-5m-1772213700,UP,-0.02458210422811704,DOWN,81.34,-0.02458210422811704,False,0.02458210422811704,Tiny (<0.05%)
2026-02-27 17:40:00+00:00,sol-updown-5m-1772214000,UP,0.3073518564052127,UP,81.59,0.3073518564052127,True,0.3073518564052127,Medium (0.15-0.5%)
2026-02-27 17:45:00+00:00,sol-updown-5m-1772214300,DOWN,-0.1470768476529042,DOWN,81.47,-0.1470768476529042,True,0.1470768476529042,Small (0.05-0.15%)
2026-02-27 17:50:00+00:00,sol-updown-5m-1772214600,UP,-0.07364674113170772,DOWN,81.41,-0.07364674113170772,False,0.07364674113170772,Small (0.05-0.15%)
2026-02-27 17:55:00+00:00,sol-updown-5m-1772214900,UP,0.2211030585923189,UP,81.59,0.2211030585923189,True,0.2211030585923189,Medium (0.15-0.5%)
2026-02-27 18:00:00+00:00,sol-updown-5m-1772215200,DOWN,0.3186665032479359,UP,81.85,0.3186665032479359,False,0.3186665032479359,Medium (0.15-0.5%)
2026-02-27 18:05:00+00:00,sol-updown-5m-1772215500,DOWN,-0.2321319486866191,DOWN,81.66,-0.2321319486866191,True,0.2321319486866191,Medium (0.15-0.5%)
2026-02-27 18:10:00+00:00,sol-updown-5m-1772215800,UP,-0.06122948812147583,DOWN,81.61,-0.06122948812147583,False,0.06122948812147583,Small (0.05-0.15%)
2026-02-27 18:15:00+00:00,sol-updown-5m-1772216100,UP,0.12253400318587712,UP,81.71,0.12253400318587712,True,0.12253400318587712,Small (0.05-0.15%)
2026-02-27 18:20:00+00:00,sol-updown-5m-1772216400,DOWN,-0.06119202056051544,DOWN,81.66,-0.06119202056051544,True,0.06119202056051544,Small (0.05-0.15%)
2026-02-27 18:25:00+00:00,sol-updown-5m-1772216700,UP,-0.26940974773450754,DOWN,81.44,-0.26940974773450754,False,0.26940974773450754,Medium (0.15-0.5%)
2026-02-27 18:30:00+00:00,sol-updown-5m-1772217000,UP,0.6630648330059016,UP,81.98,0.6630648330059016,True,0.6630648330059016,Large (>0.5%)
2026-02-27 18:35:00+00:00,sol-updown-5m-1772217300,DOWN,-0.15857526225909938,DOWN,81.85,-0.15857526225909938,True,0.15857526225909938,Medium (0.15-0.5%)
2026-02-27 18:40:00+00:00,sol-updown-5m-1772217600,UP,-0.012217470983495304,DOWN,81.84,-0.012217470983495304,False,0.012217470983495304,Tiny (<0.05%)
2026-02-27 18:45:00+00:00,sol-updown-5m-1772217900,DOWN,-0.024437927663746615,DOWN,81.82,-0.024437927663746615,True,0.024437927663746615,Tiny (<0.05%)
2026-02-27 18:50:00+00:00,sol-updown-5m-1772218200,DOWN,-0.42776827181617494,DOWN,81.47,-0.42776827181617494,True,0.42776827181617494,Medium (0.15-0.5%)
2026-02-27 18:55:00+00:00,sol-updown-5m-1772218500,UP,-0.03682337056585386,DOWN,81.44,-0.03682337056585386,False,0.03682337056585386,Tiny (<0.05%)
2026-02-27 19:00:00+00:00,sol-updown-5m-1772218800,DOWN,0.073673870333991,UP,81.5,0.073673870333991,False,0.073673870333991,Small (0.05-0.15%)
2026-02-27 19:05:00+00:00,sol-updown-5m-1772219100,DOWN,0.024539877300608613,UP,81.52,0.024539877300608613,False,0.024539877300608613,Tiny (<0.05%)
2026-02-27 19:10:00+00:00,sol-updown-5m-1772219400,UP,-0.3189401373895865,DOWN,81.26,-0.3189401373895865,False,0.3189401373895865,Medium (0.15-0.5%)
2026-02-27 19:15:00+00:00,sol-updown-5m-1772219700,DOWN,0.15998031011567246,UP,81.39,0.15998031011567246,False,0.15998031011567246,Medium (0.15-0.5%)
2026-02-27 19:20:00+00:00,sol-updown-5m-1772220000,UP,0.07371913011426745,UP,81.45,0.07371913011426745,True,0.07371913011426745,Small (0.05-0.15%)
2026-02-27 19:25:00+00:00,sol-updown-5m-1772220300,UP,0.03683241252302165,UP,81.48,0.03683241252302165,True,0.03683241252302165,Tiny (<0.05%)
2026-02-27 19:30:00+00:00,sol-updown-5m-1772220600,DOWN,0.06136475208639808,UP,81.53,0.06136475208639808,False,0.06136475208639808,Small (0.05-0.15%)
2026-02-27 19:35:00+00:00,sol-updown-5m-1772220900,DOWN,0.07359254262235039,UP,81.59,0.07359254262235039,False,0.07359254262235039,Small (0.05-0.15%)
2026-02-27 19:40:00+00:00,sol-updown-5m-1772221200,DOWN,-0.13482044368182305,DOWN,81.48,-0.13482044368182305,True,0.13482044368182305,Small (0.05-0.15%)
2026-02-27 19:45:00+00:00,sol-updown-5m-1772221500,UP,-0.07363770250368468,DOWN,81.42,-0.07363770250368468,False,0.07363770250368468,Small (0.05-0.15%)
2026-02-27 19:50:00+00:00,sol-updown-5m-1772221800,UP,0.061409972979608395,UP,81.47,0.061409972979608395,True,0.061409972979608395,Small (0.05-0.15%)
