market_time,slug,poly_outcome,binance_momentum,binance_direction,binance_close,momentum_pct,correct_prediction,abs_momentum,momentum_size
2026-02-27 14:30:00+00:00,btc-updown-5m-1772202600,UP,0.12275172046076555,UP,66173.89,0.12275172046076555,True,0.12275172046076555,Small (0.05-0.15%)
2026-02-27 14:35:00+00:00,btc-updown-5m-1772202900,UP,0.09283117555883079,UP,66235.32,0.09283117555883079,True,0.09283117555883079,Small (0.05-0.15%)
2026-02-27 14:40:00+00:00,btc-updown-5m-1772203200,DOWN,-0.2177237159871899,DOWN,66091.11,-0.2177237159871899,True,0.2177237159871899,Medium (0.15-0.5%)
2026-02-27 14:45:00+00:00,btc-updown-5m-1772203500,DOWN,-0.48582933468661144,DOWN,65770.02,-0.48582933468661144,True,0.48582933468661144,Medium (0.15-0.5%)
2026-02-27 14:50:00+00:00,btc-updown-5m-1772203800,DOWN,0.10988289193159667,UP,65842.29,0.10988289193159667,False,0.10988289193159667,Small (0.05-0.15%)
2026-02-27 14:55:00+00:00,btc-updown-5m-1772204100,UP,0.04091595234613245,UP,65869.23,0.04091595234613245,True,0.04091595234613245,Tiny (<0.05%)
2026-02-27 15:00:00+00:00,btc-updown-5m-1772204400,UP,0.46580171044963936,UP,66176.05,0.46580171044963936,True,0.46580171044963936,Medium (0.15-0.5%)
2026-02-27 15:05:00+00:00,btc-updown-5m-1772204700,UP,-0.042991384345238325,DOWN,66147.6,-0.042991384345238325,False,0.042991384345238325,Tiny (<0.05%)
2026-02-27 15:10:00+00:00,btc-updown-5m-1772205000,DOWN,-0.046139240123608524,DOWN,66117.08,-0.046139240123608524,True,0.046139240123608524,Tiny (<0.05%)
2026-02-27 15:15:00+00:00,btc-updown-5m-1772205300,UP,0.09697947943253898,UP,66181.2,0.09697947943253898,True,0.09697947943253898,Small (0.05-0.15%)
2026-02-27 15:20:00+00:00,btc-updown-5m-1772205600,UP,-0.12589678035453034,DOWN,66097.88,-0.12589678035453034,False,0.12589678035453034,Small (0.05-0.15%)
2026-02-27 15:25:00+00:00,btc-updown-5m-1772205900,UP,-0.03305703601992351,DOWN,66076.03,-0.03305703601992351,False,0.03305703601992351,Tiny (<0.05%)
2026-02-27 15:30:00+00:00,btc-updown-5m-1772206200,DOWN,0.06208000087172924,UP,66117.05,0.06208000087172924,False,0.06208000087172924,Small (0.05-0.15%)
2026-02-27 15:35:00+00:00,btc-updown-5m-1772206500,DOWN,-0.23134728485316025,DOWN,65964.09,-0.23134728485316025,True,0.23134728485316025,Medium (0.15-0.5%)
2026-02-27 15:40:00+00:00,btc-updown-5m-1772206800,UP,0.05510574010799789,UP,66000.44,0.05510574010799789,True,0.05510574010799789,Small (0.05-0.15%)
2026-02-27 15:45:00+00:00,btc-updown-5m-1772207100,UP,0.2226651822321061,UP,66147.4,0.2226651822321061,True,0.2226651822321061,Medium (0.15-0.5%)
2026-02-27 15:50:00+00:00,btc-updown-5m-1772207400,UP,0.030613448147621826,UP,66167.65,0.030613448147621826,True,0.030613448147621826,Tiny (<0.05%)
2026-02-27 15:55:00+00:00,btc-updown-5m-1772207700,DOWN,-0.06134417649711983,DOWN,66127.06,-0.06134417649711983,True,0.06134417649711983,Small (0.05-0.15%)
2026-02-27 16:00:00+00:00,btc-updown-5m-1772208000,DOWN,-0.133455199732152,DOWN,66038.81,-0.133455199732152,True,0.133455199732152,Small (0.05-0.15%)
2026-02-27 16:05:00+00:00,btc-updown-5m-1772208300,DOWN,-0.3497791677348376,DOWN,65807.82,-0.3497791677348376,True,0.3497791677348376,Medium (0.15-0.5%)
2026-02-27 16:10:00+00:00,btc-updown-5m-1772208600,DOWN,0.17564781814683497,UP,65923.41,0.17564781814683497,False,0.17564781814683497,Medium (0.15-0.5%)
2026-02-27 16:15:00+00:00,btc-updown-5m-1772208900,UP,0.02628808188168929,UP,65940.74,0.02628808188168929,True,0.02628808188168929,Tiny (<0.05%)
2026-02-27 16:20:00+00:00,btc-updown-5m-1772209200,UP,-0.04378173493353258,DOWN,65911.87,-0.04378173493353258,False,0.04378173493353258,Tiny (<0.05%)
2026-02-27 16:25:00+00:00,btc-updown-5m-1772209500,DOWN,0.15786230917132668,UP,66015.92,0.15786230917132668,False,0.15786230917132668,Medium (0.15-0.5%)
2026-02-27 16:30:00+00:00,btc-updown-5m-1772209800,UP,-0.01973766327879523,DOWN,66002.89,-0.01973766327879523,False,0.01973766327879523,Tiny (<0.05%)
2026-02-27 16:35:00+00:00,btc-updown-5m-1772210100,DOWN,-0.08775373320774023,DOWN,65944.97,-0.08775373320774023,True,0.08775373320774023,Small (0.05-0.15%)
2026-02-27 16:40:00+00:00,btc-updown-5m-1772210400,DOWN,-0.12242025434236443,DOWN,65864.24,-0.12242025434236443,True,0.12242025434236443,Small (0.05-0.15%)
2026-02-27 16:45:00+00:00,btc-updown-5m-1772210700,DOWN,-0.13416992285952117,DOWN,65775.87,-0.13416992285952117,True,0.13416992285952117,Small (0.05-0.15%)
2026-02-27 16:50:00+00:00,btc-updown-5m-1772211000,UP,-0.3224282704280487,DOWN,65563.79,-0.3224282704280487,False,0.3224282704280487,Medium (0.15-0.5%)
2026-02-27 16:55:00+00:00,btc-updown-5m-1772211300,DOWN,0.016716544299843563,UP,65574.75,0.016716544299843563,False,0.016716544299843563,Tiny (<0.05%)
2026-02-27 17:00:00+00:00,btc-updown-5m-1772211600,UP,-0.047686037689818224,DOWN,65543.48,-0.047686037689818224,False,0.047686037689818224,Tiny (<0.05%)
