recv_ns,trade_us,event_us,symbol,price,qty,is_sell
1772524787984989300,1772524790694141,1772524790694798,BTCUSDT,68170.99000000,0.00016000,1
1772524787985032400,1772524790694141,1772524790694799,BTCUSDT,68170.94000000,0.01887000,1
1772524788002985100,1772524790709785,1772524790713542,BTCUSDT,68170.24000000,0.00110000,1
1772524788003089700,1772524790709785,1772524790713547,BTCUSDT,68170.23000000,0.00048000,1
1772524788003784800,1772524790712535,1772524790714870,BTCUSDT,68170.01000000,0.00024000,1
1772524788003849800,1772524790712535,1772524790714874,BTCUSDT,68170.00000000,0.08085000,1
1772524788003894900,1772524790712535,1772524790714875,BTCUSDT,68169.88000000,0.00009000,1
1772524788023783900,1772524790734005,1772524790734414,BTCUSDT,68169.29000000,0.00094000,1
1772524788023919500,1772524790734005,1772524790734418,BTCUSDT,68169.28000000,0.00032000,1
1772524788024056700,1772524790735301,1772524790735675,BTCUSDT,68168.55000000,0.00012000,1
1772524788076884900,1772524790786877,1772524790787405,BTCUSDT,68168.00000000,0.00138000,1
1772524788076981700,1772524790786877,1772524790787410,BTCUSDT,68167.99000000,0.00016000,1
1772524788077028000,1772524790786877,1772524790787411,BTCUSDT,68167.68000000,0.00009000,1
1772524788077071400,1772524790786877,1772524790787412,BTCUSDT,68167.37000000,0.00009000,1
1772524788077113600,1772524790786877,1772524790787412,BTCUSDT,68166.82000000,0.00016000,1
1772524788077156500,1772524790786877,1772524790787413,BTCUSDT,68166.40000000,0.00053000,1
1772524788077198600,1772524790786877,1772524790787414,BTCUSDT,68166.06000000,0.00008000,1
1772524788077245000,1772524790786877,1772524790787415,BTCUSDT,68166.00000000,0.00060000,1
1772524788172095100,1772524790882000,1772524790882678,BTCUSDT,68165.41000000,0.00153000,1
1772524788172196500,1772524790882000,1772524790882683,BTCUSDT,68165.40000000,0.00057000,1
1772524788172246100,1772524790882000,1772524790882684,BTCUSDT,68165.12000000,0.00009000,1
1772524788172292800,1772524790882000,1772524790882685,BTCUSDT,68165.03000000,0.00009000,1
1772524788172339100,1772524790882000,1772524790882686,BTCUSDT,68164.74000000,0.00366000,1
