open_time,open,high,low,close,volume
2026-02-21 14:26:00,68522.3,68525.53,68484.35,68484.35,7.44951
2026-02-21 14:27:00,68484.36,68484.36,68400.0,68400.01,66.92764
2026-02-21 14:28:00,68400.01,68465.84,68396.0,68450.75,10.57431
2026-02-21 14:29:00,68450.74,68450.75,68432.8,68432.8,2.73954
2026-02-21 14:30:00,68432.8,68439.68,68415.71,68429.99,5.63865
2026-02-21 14:31:00,68429.99,68550.01,68429.99,68520.09,85.03763
2026-02-21 14:32:00,68520.1,68528.61,68497.01,68528.61,5.55018
2026-02-21 14:33:00,68528.61,68573.34,68505.72,68573.33,14.06327
2026-02-21 14:34:00,68573.34,68624.4,68540.81,68540.81,43.31562
2026-02-21 14:35:00,68540.81,68558.65,68486.96,68513.13,36.57853
2026-02-21 14:36:00,68513.12,68513.13,68463.45,68494.95,9.9558
2026-02-21 14:37:00,68495.2,68503.13,68474.29,68474.3,6.10261
2026-02-21 14:38:00,68474.29,68500.03,68474.29,68500.02,7.82593
2026-02-21 14:39:00,68500.01,68530.4,68493.85,68530.39,9.79849
2026-02-21 14:40:00,68530.4,68544.75,68530.39,68544.31,2.88944
2026-02-21 14:41:00,68544.31,68544.31,68500.0,68500.01,6.09181
2026-02-21 14:42:00,68500.0,68500.01,68495.29,68500.0,2.51493
2026-02-21 14:43:00,68499.99,68551.54,68499.99,68535.92,7.63442
2026-02-21 14:44:00,68535.92,68556.74,68532.3,68541.67,32.22269
2026-02-21 14:45:00,68541.68,68556.36,68532.3,68533.82,23.22245
2026-02-21 14:46:00,68533.82,68533.83,68505.08,68520.09,4.23895
2026-02-21 14:47:00,68520.1,68556.74,68519.65,68548.55,8.22309
2026-02-21 14:48:00,68548.55,68548.55,68490.01,68490.02,6.15023
2026-02-21 14:49:00,68490.01,68490.02,68468.0,68480.42,3.09855
2026-02-21 14:50:00,68480.43,68522.54,68480.42,68522.54,2.55099
2026-02-21 14:51:00,68522.54,68556.02,68522.53,68553.93,5.16952
2026-02-21 14:52:00,68553.94,68586.48,68545.12,68556.77,7.13318
2026-02-21 14:53:00,68556.78,68556.78,68509.15,68509.15,2.967
2026-02-21 14:54:00,68509.15,68509.15,68461.09,68501.36,4.57085
2026-02-21 14:55:00,68501.36,68501.36,68438.0,68438.0,7.82725
2026-02-21 14:56:00,68438.01,68464.31,68438.01,68454.7,5.45756
2026-02-21 14:57:00,68454.7,68477.62,68454.27,68473.42,4.23142
2026-02-21 14:58:00,68473.43,68481.02,68461.52,68481.01,1.84861
2026-02-21 14:59:00,68481.01,68481.02,68446.3,68450.01,3.31813
2026-02-21 15:00:00,68450.01,68468.98,68450.0,68460.93,3.70072
2026-02-21 15:01:00,68460.92,68464.4,68448.01,68458.25,3.79326
2026-02-21 15:02:00,68458.26,68477.97,68458.25,68472.81,3.39374
2026-02-21 15:03:00,68472.8,68472.8,68425.6,68425.61,2.48701
2026-02-21 15:04:00,68425.61,68453.57,68422.32,68440.3,10.31377
2026-02-21 15:05:00,68440.3,68448.24,68438.84,68441.6,1.79045
2026-02-21 15:06:00,68441.6,68446.55,68425.6,68446.55,3.85126
2026-02-21 15:07:00,68446.55,68480.31,68446.54,68468.13,6.24746
2026-02-21 15:08:00,68468.13,68468.14,68460.77,68468.13,1.65605
2026-02-21 15:09:00,68468.14,68481.79,68468.13,68481.79,6.55437
2026-02-21 15:10:00,68481.78,68481.79,68451.35,68454.35,2.25192
2026-02-21 15:11:00,68454.35,68473.08,68454.35,68473.08,3.15571
2026-02-21 15:12:00,68473.08,68479.72,68467.6,68470.0,7.3057
2026-02-21 15:13:00,68470.01,68520.1,68470.01,68512.21,7.12214
2026-02-21 15:14:00,68512.21,68512.22,68489.47,68489.47,2.69321
2026-02-21 15:15:00,68489.47,68512.95,68489.47,68504.08,6.00847
2026-02-21 15:16:00,68504.08,68504.09,68477.15,68504.08,3.12342
2026-02-21 15:17:00,68504.09,68542.41,68504.08,68516.28,4.74529
2026-02-21 15:18:00,68516.28,68570.0,68516.28,68547.85,5.71838
2026-02-21 15:19:00,68547.84,68547.85,68528.6,68542.88,2.69907
2026-02-21 15:20:00,68542.89,68546.0,68533.99,68534.0,2.21969
2026-02-21 15:21:00,68534.01,68553.44,68534.0,68553.43,1.95145
2026-02-21 15:22:00,68553.44,68553.44,68515.81,68515.84,2.65535
2026-02-21 15:23:00,68515.85,68546.82,68515.84,68546.81,2.20385
2026-02-21 15:24:00,68546.81,68546.82,68528.6,68528.62,2.89911
2026-02-21 15:25:00,68528.61,68528.62,68528.61,68528.61,2.12954
2026-02-21 15:26:00,68528.61,68528.62,68481.55,68481.56,5.9645
2026-02-21 15:27:00,68481.55,68481.56,68463.94,68463.95,10.39246
2026-02-21 15:28:00,68463.94,68463.95,68457.55,68460.01,5.99562
2026-02-21 15:29:00,68460.0,68460.01,68453.6,68453.61,7.48976
2026-02-21 15:30:00,68453.61,68455.82,68417.0,68454.5,16.31933
2026-02-21 15:31:00,68454.5,68454.51,68423.3,68423.31,15.20193
2026-02-21 15:32:00,68423.31,68508.0,68423.29,68490.58,18.59374
2026-02-21 15:33:00,68490.58,68526.0,68490.57,68517.29,11.55616
2026-02-21 15:34:00,68517.28,68526.0,68510.01,68526.0,10.1374
2026-02-21 15:35:00,68526.0,68526.0,68496.16,68500.87,11.44832
2026-02-21 15:36:00,68500.86,68500.87,68470.74,68493.56,9.96914
2026-02-21 15:37:00,68493.56,68506.13,68492.98,68506.13,6.91888
2026-02-21 15:38:00,68506.13,68537.7,68498.49,68537.69,12.88539
2026-02-21 15:39:00,68537.7,68549.89,68512.93,68512.94,13.3271
2026-02-21 15:40:00,68512.94,68528.0,68512.94,68528.0,3.1754
2026-02-21 15:41:00,68527.99,68543.69,68527.99,68543.68,2.96881
2026-02-21 15:42:00,68543.67,68566.18,68543.67,68566.18,11.517
2026-02-21 15:43:00,68566.17,68698.7,68566.17,68640.8,37.64463
2026-02-21 15:44:00,68640.8,68683.9,68614.68,68631.72,16.16268
2026-02-21 15:45:00,68631.72,68641.35,68613.13,68632.37,2.91163
2026-02-21 15:46:00,68632.36,68632.37,68594.74,68610.25,6.9247
2026-02-21 15:47:00,68610.26,68675.0,68610.25,68654.18,12.92399
2026-02-21 15:48:00,68654.17,68654.18,68634.0,68652.67,6.56156
2026-02-21 15:49:00,68652.66,68696.63,68644.73,68663.69,19.85816
2026-02-21 15:50:00,68663.69,68663.69,68644.75,68644.75,3.44214
2026-02-21 15:51:00,68644.76,68648.0,68641.68,68647.99,4.9996
2026-02-21 15:52:00,68647.99,68648.7,68636.95,68637.61,7.56346
2026-02-21 15:53:00,68637.61,68637.61,68603.39,68618.83,6.41895
2026-02-21 15:54:00,68618.83,68619.21,68618.83,68619.21,1.07185
2026-02-21 15:55:00,68619.2,68619.21,68611.78,68611.79,1.26666
2026-02-21 15:56:00,68611.78,68642.47,68611.78,68633.54,7.49603
2026-02-21 15:57:00,68633.53,68633.54,68624.78,68624.79,4.52088
2026-02-21 15:58:00,68624.79,68657.69,68624.78,68657.66,6.33201
2026-02-21 15:59:00,68657.67,68657.67,68615.0,68615.0,5.01414
2026-02-21 16:00:00,68615.01,68630.76,68607.36,68607.37,6.96045
2026-02-21 16:01:00,68607.37,68607.37,68414.64,68424.75,64.86625
2026-02-21 16:02:00,68424.75,68463.36,68362.0,68414.38,29.72392
2026-02-21 16:03:00,68414.38,68440.33,68384.35,68440.32,6.43319
2026-02-21 16:04:00,68440.32,68449.93,68402.4,68402.41,5.66532
2026-02-21 16:05:00,68402.41,68407.48,68379.66,68404.0,7.56944
2026-02-21 16:06:00,68404.01,68404.01,68341.4,68369.83,12.95308
2026-02-21 16:07:00,68369.84,68369.84,68309.16,68366.98,38.96096
2026-02-21 16:08:00,68366.98,68384.54,68360.6,68384.54,6.21784
2026-02-21 16:09:00,68384.54,68421.04,68380.67,68421.01,11.20037
2026-02-21 16:10:00,68421.01,68421.01,68401.7,68412.47,9.5942
2026-02-21 16:11:00,68412.48,68412.48,68401.7,68401.7,1.88744
2026-02-21 16:12:00,68401.71,68401.71,68373.26,68384.51,3.07297
2026-02-21 16:13:00,68384.51,68425.7,68384.51,68405.92,2.63376
2026-02-21 16:14:00,68405.93,68405.93,68356.77,68356.78,9.26866
2026-02-21 16:15:00,68356.77,68356.77,68322.6,68329.43,8.64896
2026-02-21 16:16:00,68329.42,68344.78,68276.8,68281.04,14.51092
2026-02-21 16:17:00,68281.04,68281.04,68219.5,68254.62,26.79295
2026-02-21 16:18:00,68254.61,68324.02,68254.61,68297.85,10.42238
2026-02-21 16:19:00,68297.85,68297.85,68262.35,68262.35,2.90183
2026-02-21 16:20:00,68262.36,68279.43,68256.3,68279.42,3.15552
2026-02-21 16:21:00,68279.43,68279.43,68193.69,68214.32,29.85236
2026-02-21 16:22:00,68214.32,68255.09,68160.18,68191.76,65.57854
2026-02-21 16:23:00,68191.39,68191.39,68141.13,68157.42,16.73414
2026-02-21 16:24:00,68157.42,68191.32,68129.91,68191.31,7.30454
2026-02-21 16:25:00,68191.32,68197.54,68147.53,68147.54,3.84249
2026-02-21 16:26:00,68147.54,68184.42,68101.78,68184.41,13.3735
2026-02-21 16:27:00,68184.42,68231.88,68183.08,68231.88,9.60162
2026-02-21 16:28:00,68231.88,68249.0,68204.46,68219.51,14.72882
2026-02-21 16:29:00,68219.5,68276.9,68218.62,68274.36,13.76404
2026-02-21 16:30:00,68274.37,68279.43,68228.21,68228.22,6.09698
2026-02-21 16:31:00,68228.21,68228.21,68147.53,68147.54,22.543
2026-02-21 16:32:00,68147.54,68181.96,68138.0,68181.95,22.80822
2026-02-21 16:33:00,68181.95,68190.49,68181.39,68189.37,20.59854
2026-02-21 16:34:00,68189.37,68221.56,68189.37,68221.56,10.93712
2026-02-21 16:35:00,68221.55,68240.67,68221.55,68232.05,8.53788
2026-02-21 16:36:00,68232.06,68291.77,68232.05,68291.77,21.345
2026-02-21 16:37:00,68291.76,68348.4,68291.76,68328.99,13.84601
2026-02-21 16:38:00,68328.98,68344.64,68325.17,68335.28,4.4281
2026-02-21 16:39:00,68335.28,68350.5,68325.02,68350.5,4.24835
2026-02-21 16:40:00,68350.5,68356.01,68325.88,68337.17,5.66428
2026-02-21 16:41:00,68337.17,68340.0,68329.0,68332.19,1.31921
2026-02-21 16:42:00,68332.19,68339.03,68332.18,68339.02,1.37648
2026-02-21 16:43:00,68339.02,68350.5,68330.27,68330.28,1.57729
2026-02-21 16:44:00,68330.27,68356.01,68329.0,68356.0,12.49633
2026-02-21 16:45:00,68356.0,68356.0,68328.17,68328.17,3.77354
2026-02-21 16:46:00,68328.18,68337.97,68328.17,68337.97,1.27984
2026-02-21 16:47:00,68337.97,68346.84,68337.96,68340.42,1.76708
2026-02-21 16:48:00,68340.42,68340.42,68310.54,68313.68,1.92494
2026-02-21 16:49:00,68313.67,68313.68,68313.67,68313.68,0.95565
2026-02-21 16:50:00,68313.68,68350.5,68313.67,68348.3,5.78901
2026-02-21 16:51:00,68348.31,68350.5,68341.0,68350.5,2.39413
2026-02-21 16:52:00,68350.5,68350.5,68350.49,68350.5,1.35519
2026-02-21 16:53:00,68350.5,68356.01,68350.49,68355.81,3.38887
2026-02-21 16:54:00,68355.82,68355.82,68335.14,68350.49,4.31173
2026-02-21 16:55:00,68350.49,68350.5,68316.05,68316.05,6.96828
2026-02-21 16:56:00,68316.06,68349.26,68316.05,68327.8,3.30043
2026-02-21 16:57:00,68327.81,68327.81,68316.07,68316.23,1.68224
2026-02-21 16:58:00,68316.24,68325.08,68316.23,68322.6,1.72161
2026-02-21 16:59:00,68322.61,68322.61,68322.6,68322.6,1.84341
2026-02-21 17:00:00,68322.61,68324.0,68307.06,68314.42,4.36899
2026-02-21 17:01:00,68314.41,68347.57,68314.41,68347.56,2.38979
2026-02-21 17:02:00,68347.56,68349.26,68344.64,68344.65,1.66987
2026-02-21 17:03:00,68344.65,68344.65,68323.96,68333.99,2.07229
2026-02-21 17:04:00,68334.0,68337.79,68304.0,68304.0,2.85536
