recv_ns,trade_us,event_us,symbol,price,qty,is_sell
1772535526553301000,1772535526521604,1772535526521898,BTCUSDT,66753.99000000,0.00198000,1
1772535526563074100,1772535526533455,1772535526533720,BTCUSDT,66753.99000000,0.00014000,1
1772535527374925200,1772535527345422,1772535527345751,BTCUSDT,66753.99000000,0.00035000,1
1772535527521280200,1772535527491588,1772535527491902,BTCUSDT,66753.99000000,0.00047000,1
1772535527716263700,1772535527686150,1772535527686485,BTCUSDT,66754.00000000,0.00084000,0
1772535528393086100,1772535528363406,1772535528363910,BTCUSDT,66754.00000000,0.00051000,0
1772535528777899300,1772535528748374,1772535528748706,BTCUSDT,66754.00000000,0.00075000,0
1772535528970508900,1772535528939753,1772535528940041,BTCUSDT,66753.99000000,0.00112000,1
1772535529449435200,1772535529419407,1772535529419865,BTCUSDT,66753.99000000,0.00076000,1
1772535529463997200,1772535529433808,1772535529434241,BTCUSDT,66754.00000000,0.02975000,0
1772535530056435100,1772535530026015,1772535530026398,BTCUSDT,66753.99000000,0.00054000,1
1772535530250113400,1772535530220310,1772535530220567,BTCUSDT,66754.00000000,0.00118000,0
1772535530306034300,1772535530276037,1772535530276492,BTCUSDT,66754.00000000,0.06945000,0
1772535530306194500,1772535530276137,1772535530276586,BTCUSDT,66754.00000000,0.03347000,0
1772535530306315800,1772535530276137,1772535530276590,BTCUSDT,66754.01000000,0.00048000,0
1772535530312021400,1772535530282119,1772535530282483,BTCUSDT,66754.91000000,0.00074000,0
1772535530319893500,1772535530290388,1772535530290741,BTCUSDT,66754.91000000,0.00075000,0
1772535530346072800,1772535530315630,1772535530316059,BTCUSDT,66754.91000000,0.00131000,0
1772535530346230700,1772535530315630,1772535530316067,BTCUSDT,66754.92000000,0.00048000,0
1772535530346324900,1772535530315630,1772535530316068,BTCUSDT,66754.98000000,0.00008000,0
1772535530346416500,1772535530315630,1772535530316069,BTCUSDT,66755.26000000,0.00048000,0
1772535530348442300,1772535530319176,1772535530319544,BTCUSDT,66755.27000000,0.00112000,0
1772535530348526000,1772535530319176,1772535530319549,BTCUSDT,66755.28000000,0.00040000,0
1772535530348603400,1772535530319176,1772535530319549,BTCUSDT,66755.42000000,0.05179000,0
1772535530353803900,1772535530323918,1772535530324466,BTCUSDT,66755.27000000,0.00144000,0
