market_time,slug,poly_outcome,binance_momentum,binance_direction,binance_close,momentum_pct,correct_prediction,abs_momentum,momentum_size,coin,market_type
2026-02-27 14:30:00+00:00,btc-updown-5m-1772202600,UP,0.12275172046076555,UP,66173.89,0.12275172046076555,True,0.12275172046076555,Small (0.05-0.15%),BTC,5m
2026-02-27 14:35:00+00:00,btc-updown-5m-1772202900,UP,0.09283117555883079,UP,66235.32,0.09283117555883079,True,0.09283117555883079,Small (0.05-0.15%),BTC,5m
2026-02-27 14:40:00+00:00,btc-updown-5m-1772203200,DOWN,-0.2177237159871899,DOWN,66091.11,-0.2177237159871899,True,0.2177237159871899,Medium (0.15-0.5%),BTC,5m
2026-02-27 14:45:00+00:00,btc-updown-5m-1772203500,DOWN,-0.48582933468661144,DOWN,65770.02,-0.48582933468661144,True,0.48582933468661144,Medium (0.15-0.5%),BTC,5m
2026-02-27 14:50:00+00:00,btc-updown-5m-1772203800,DOWN,0.10988289193159667,UP,65842.29,0.10988289193159667,False,0.10988289193159667,Small (0.05-0.15%),BTC,5m
2026-02-27 14:55:00+00:00,btc-updown-5m-1772204100,UP,0.04091595234613245,UP,65869.23,0.04091595234613245,True,0.04091595234613245,Tiny (<0.05%),BTC,5m
2026-02-27 15:00:00+00:00,btc-updown-5m-1772204400,UP,0.46580171044963936,UP,66176.05,0.46580171044963936,True,0.46580171044963936,Medium (0.15-0.5%),BTC,5m
2026-02-27 15:05:00+00:00,btc-updown-5m-1772204700,UP,-0.042991384345238325,DOWN,66147.6,-0.042991384345238325,False,0.042991384345238325,Tiny (<0.05%),BTC,5m
2026-02-27 15:10:00+00:00,btc-updown-5m-1772205000,DOWN,-0.046139240123608524,DOWN,66117.08,-0.046139240123608524,True,0.046139240123608524,Tiny (<0.05%),BTC,5m
2026-02-27 15:15:00+00:00,btc-updown-5m-1772205300,UP,0.09697947943253898,UP,66181.2,0.09697947943253898,True,0.09697947943253898,Small (0.05-0.15%),BTC,5m
2026-02-27 15:20:00+00:00,btc-updown-5m-1772205600,UP,-0.12589678035453034,DOWN,66097.88,-0.12589678035453034,False,0.12589678035453034,Small (0.05-0.15%),BTC,5m
2026-02-27 15:25:00+00:00,btc-updown-5m-1772205900,UP,-0.03305703601992351,DOWN,66076.03,-0.03305703601992351,False,0.03305703601992351,Tiny (<0.05%),BTC,5m
2026-02-27 15:30:00+00:00,btc-updown-5m-1772206200,DOWN,0.06208000087172924,UP,66117.05,0.06208000087172924,False,0.06208000087172924,Small (0.05-0.15%),BTC,5m
2026-02-27 15:35:00+00:00,btc-updown-5m-1772206500,DOWN,-0.23134728485316025,DOWN,65964.09,-0.23134728485316025,True,0.23134728485316025,Medium (0.15-0.5%),BTC,5m
2026-02-27 15:40:00+00:00,btc-updown-5m-1772206800,UP,0.05510574010799789,UP,66000.44,0.05510574010799789,True,0.05510574010799789,Small (0.05-0.15%),BTC,5m
2026-02-27 15:45:00+00:00,btc-updown-5m-1772207100,UP,0.2226651822321061,UP,66147.4,0.2226651822321061,True,0.2226651822321061,Medium (0.15-0.5%),BTC,5m
2026-02-27 15:50:00+00:00,btc-updown-5m-1772207400,UP,0.030613448147621826,UP,66167.65,0.030613448147621826,True,0.030613448147621826,Tiny (<0.05%),BTC,5m
2026-02-27 15:55:00+00:00,btc-updown-5m-1772207700,DOWN,-0.06134417649711983,DOWN,66127.06,-0.06134417649711983,True,0.06134417649711983,Small (0.05-0.15%),BTC,5m
2026-02-27 16:00:00+00:00,btc-updown-5m-1772208000,DOWN,-0.133455199732152,DOWN,66038.81,-0.133455199732152,True,0.133455199732152,Small (0.05-0.15%),BTC,5m
2026-02-27 16:05:00+00:00,btc-updown-5m-1772208300,DOWN,-0.3497791677348376,DOWN,65807.82,-0.3497791677348376,True,0.3497791677348376,Medium (0.15-0.5%),BTC,5m
2026-02-27 16:10:00+00:00,btc-updown-5m-1772208600,DOWN,0.17564781814683497,UP,65923.41,0.17564781814683497,False,0.17564781814683497,Medium (0.15-0.5%),BTC,5m
