open_time,open,high,low,close,volume
2026-02-21 14:26:00,1992.87,1993.62,1990.9,1990.9,399.0747
2026-02-21 14:27:00,1990.9,1991.05,1988.22,1988.22,374.0281
2026-02-21 14:28:00,1988.22,1989.86,1987.5,1989.24,443.5444
2026-02-21 14:29:00,1989.24,1989.24,1988.16,1988.26,203.0365
2026-02-21 14:30:00,1988.27,1988.61,1987.38,1987.6,278.0289
2026-02-21 14:31:00,1987.61,1990.0,1987.61,1989.49,354.723
2026-02-21 14:32:00,1989.49,1990.0,1988.54,1989.28,270.673
2026-02-21 14:33:00,1989.28,1991.71,1988.56,1991.57,989.1225
2026-02-21 14:34:00,1991.58,1991.88,1989.66,1990.18,513.0011
2026-02-21 14:35:00,1990.18,1992.34,1988.76,1990.78,485.9307
2026-02-21 14:36:00,1990.78,1990.78,1988.58,1988.85,230.5468
2026-02-21 14:37:00,1988.85,1989.33,1987.54,1987.61,224.6779
2026-02-21 14:38:00,1987.61,1989.1,1987.56,1989.08,215.9953
2026-02-21 14:39:00,1989.09,1990.91,1989.09,1990.91,161.4062
2026-02-21 14:40:00,1990.91,1991.33,1990.4,1990.97,146.0883
2026-02-21 14:41:00,1990.98,1990.98,1988.44,1989.16,175.5758
2026-02-21 14:42:00,1989.16,1989.17,1988.99,1989.12,22.5377
2026-02-21 14:43:00,1989.11,1990.79,1989.11,1990.1,133.1219
2026-02-21 14:44:00,1990.1,1990.45,1989.41,1989.42,213.5389
2026-02-21 14:45:00,1989.42,1989.73,1989.0,1989.01,239.788
2026-02-21 14:46:00,1989.0,1989.05,1988.44,1988.78,304.0728
2026-02-21 14:47:00,1988.79,1990.79,1988.78,1989.98,458.9444
2026-02-21 14:48:00,1989.98,1989.98,1988.72,1988.79,234.5447
2026-02-21 14:49:00,1988.8,1988.8,1987.8,1988.28,259.4128
2026-02-21 14:50:00,1988.28,1990.81,1988.28,1990.81,322.5453
2026-02-21 14:51:00,1990.8,1992.34,1990.1,1991.85,847.7301
2026-02-21 14:52:00,1991.85,1993.32,1990.49,1990.83,586.9417
2026-02-21 14:53:00,1990.83,1991.18,1989.3,1989.3,688.1438
2026-02-21 14:54:00,1989.29,1989.29,1987.13,1987.81,264.718
2026-02-21 14:55:00,1987.8,1987.8,1986.43,1986.71,410.4663
2026-02-21 14:56:00,1986.72,1988.47,1986.72,1987.26,229.6844
2026-02-21 14:57:00,1987.25,1988.51,1987.25,1988.51,227.1332
2026-02-21 14:58:00,1988.52,1988.69,1988.38,1988.69,99.9984
2026-02-21 14:59:00,1988.68,1988.69,1987.34,1987.52,236.4512
2026-02-21 15:00:00,1987.51,1989.2,1987.23,1988.9,521.9249
2026-02-21 15:01:00,1988.89,1989.49,1988.89,1989.02,292.2684
2026-02-21 15:02:00,1989.01,1990.13,1988.89,1988.89,96.4025
2026-02-21 15:03:00,1988.9,1988.9,1987.13,1987.14,317.9436
2026-02-21 15:04:00,1987.14,1987.55,1987.14,1987.2,166.4655
2026-02-21 15:05:00,1987.2,1987.44,1986.77,1986.77,208.5967
2026-02-21 15:06:00,1986.77,1986.99,1986.15,1986.98,198.2689
2026-02-21 15:07:00,1986.98,1988.85,1986.98,1988.48,244.7442
2026-02-21 15:08:00,1988.48,1988.57,1987.54,1987.97,210.1269
2026-02-21 15:09:00,1987.97,1989.22,1987.9,1989.21,222.3845
2026-02-21 15:10:00,1989.22,1989.27,1988.26,1988.27,121.7516
2026-02-21 15:11:00,1988.27,1989.36,1987.64,1988.53,495.81
2026-02-21 15:12:00,1988.54,1989.42,1988.45,1989.41,290.0105
2026-02-21 15:13:00,1989.42,1991.81,1989.42,1990.82,427.5118
2026-02-21 15:14:00,1990.82,1990.83,1988.88,1988.89,182.3959
2026-02-21 15:15:00,1988.88,1989.7,1988.44,1988.59,183.3328
2026-02-21 15:16:00,1988.59,1989.17,1987.6,1988.98,240.6493
2026-02-21 15:17:00,1988.98,1990.34,1988.98,1989.82,124.9093
2026-02-21 15:18:00,1989.83,1991.42,1989.82,1991.17,120.03
2026-02-21 15:19:00,1991.16,1991.17,1990.48,1990.94,112.8235
2026-02-21 15:20:00,1990.94,1991.41,1990.52,1990.53,128.7724
2026-02-21 15:21:00,1990.52,1991.16,1990.46,1990.99,104.4814
2026-02-21 15:22:00,1990.99,1991.7,1990.04,1990.06,91.7964
2026-02-21 15:23:00,1990.06,1991.23,1990.05,1991.13,137.0029
2026-02-21 15:24:00,1991.14,1991.14,1990.3,1990.33,122.707
2026-02-21 15:25:00,1990.32,1990.51,1990.0,1990.0,106.7234
2026-02-21 15:26:00,1990.01,1990.01,1988.05,1988.05,237.1198
2026-02-21 15:27:00,1988.05,1988.06,1986.55,1986.74,165.73
2026-02-21 15:28:00,1986.74,1986.74,1986.42,1986.64,98.099
2026-02-21 15:29:00,1986.65,1986.65,1985.84,1985.98,140.5833
2026-02-21 15:30:00,1985.98,1986.14,1984.25,1985.42,413.4662
2026-02-21 15:31:00,1985.43,1985.43,1984.6,1985.04,207.0311
2026-02-21 15:32:00,1985.03,1986.92,1984.79,1986.65,470.5259
2026-02-21 15:33:00,1986.66,1988.37,1986.66,1988.29,195.4413
2026-02-21 15:34:00,1988.28,1988.83,1987.82,1988.83,176.5344
2026-02-21 15:35:00,1988.83,1988.83,1988.45,1988.82,89.3986
2026-02-21 15:36:00,1988.83,1988.83,1987.25,1987.97,92.9843
2026-02-21 15:37:00,1987.97,1988.77,1987.97,1988.77,48.763
2026-02-21 15:38:00,1988.76,1988.76,1987.65,1988.45,89.9315
2026-02-21 15:39:00,1988.45,1988.58,1988.0,1988.0,75.7304
2026-02-21 15:40:00,1988.0,1988.01,1987.25,1987.38,78.9106
2026-02-21 15:41:00,1987.37,1987.86,1987.37,1987.66,58.4087
2026-02-21 15:42:00,1987.66,1989.48,1987.66,1989.48,61.0655
2026-02-21 15:43:00,1989.48,1993.0,1989.48,1990.44,627.5777
2026-02-21 15:44:00,1990.45,1991.39,1990.11,1990.42,104.8545
2026-02-21 15:45:00,1990.43,1990.68,1989.99,1990.44,103.4435
2026-02-21 15:46:00,1990.44,1990.44,1988.92,1989.33,90.7499
2026-02-21 15:47:00,1989.33,1990.88,1989.32,1989.32,180.2093
2026-02-21 15:48:00,1989.33,1989.51,1988.88,1989.5,96.2849
2026-02-21 15:49:00,1989.5,1990.14,1988.99,1989.28,186.8977
