open_time,open,high,low,close,volume
2026-02-27 19:16:00,65261.33,65310.0,65261.33,65301.78,1.27793
2026-02-27 19:17:00,65301.79,65347.15,65301.79,65309.17,5.89478
2026-02-27 19:18:00,65309.18,65320.6,65232.62,65232.62,5.29998
2026-02-27 19:19:00,65232.63,65232.63,65214.0,65218.5,2.20261
2026-02-27 19:20:00,65218.51,65251.31,65214.0,65245.01,45.02264
2026-02-27 19:21:00,65245.0,65265.44,65240.0,65265.43,62.66585
2026-02-27 19:22:00,65265.43,65280.85,65236.0,65242.29,11.81681
2026-02-27 19:23:00,65242.28,65270.48,65230.14,65264.23,1.88862
2026-02-27 19:24:00,65264.23,65350.0,65264.23,65334.75,7.72125
2026-02-27 19:25:00,65334.76,65334.76,65282.0,65282.0,2.84335
2026-02-27 19:26:00,65282.0,65320.33,65270.49,65314.65,2.71288
2026-02-27 19:27:00,65314.65,65414.78,65314.64,65414.78,17.0363
2026-02-27 19:28:00,65414.77,65420.35,65372.87,65378.79,5.76433
2026-02-27 19:29:00,65378.79,65378.79,65339.58,65339.58,3.86877
2026-02-27 19:30:00,65339.59,65342.33,65336.21,65337.58,1.44523
2026-02-27 19:31:00,65337.59,65390.76,65337.58,65390.54,5.06109
2026-02-27 19:32:00,65390.54,65390.54,65353.0,65382.38,30.69766
2026-02-27 19:33:00,65382.38,65398.81,65382.37,65394.0,49.73432
2026-02-27 19:34:00,65393.99,65394.0,65359.0,65359.01,86.49262
2026-02-27 19:35:00,65359.0,65394.0,65359.0,65394.0,27.69394
2026-02-27 19:36:00,65393.99,65393.99,65354.52,65384.55,4.36532
2026-02-27 19:37:00,65384.54,65414.08,65384.54,65400.0,35.34374
2026-02-27 19:38:00,65400.01,65400.01,65348.84,65348.84,5.19119
2026-02-27 19:39:00,65348.85,65360.8,65348.0,65356.05,16.24783
2026-02-27 19:40:00,65356.04,65365.24,65348.0,65357.58,36.62658
2026-02-27 19:41:00,65357.59,65420.81,65357.59,65390.82,43.66028
2026-02-27 19:42:00,65390.82,65390.82,65354.48,65356.17,1.94238
2026-02-27 19:43:00,65356.17,65361.24,65356.16,65356.16,1.20285
2026-02-27 19:44:00,65356.17,65356.17,65250.0,65293.63,11.29296
2026-02-27 19:45:00,65293.64,65347.28,65293.64,65324.04,3.92121
2026-02-27 19:46:00,65324.03,65324.04,65295.75,65319.92,6.01885
2026-02-27 19:47:00,65319.92,65332.46,65300.0,65300.01,1.48012
2026-02-27 19:48:00,65300.0,65307.8,65295.26,65303.19,4.63934
2026-02-27 19:49:00,65303.18,65303.19,65264.9,65275.86,2.83978
2026-02-27 19:50:00,65275.86,65321.25,65258.41,65318.84,5.3442
2026-02-27 19:51:00,65318.83,65412.33,65318.83,65399.25,19.91956
2026-02-27 19:52:00,65399.25,65407.55,65377.29,65407.54,3.36306
2026-02-27 19:53:00,65407.55,65425.0,65386.42,65423.5,67.52812
2026-02-27 19:54:00,65423.5,65447.92,65389.35,65436.5,42.84571
2026-02-27 19:55:00,65436.49,65443.26,65402.0,65433.87,6.6189
2026-02-27 19:56:00,65433.86,65433.87,65403.8,65407.36,3.26833
2026-02-27 19:57:00,65407.37,65457.35,65407.36,65454.5,4.60152
2026-02-27 19:58:00,65454.5,65457.35,65410.93,65410.94,5.2071
