recorded_at,wallet,wallet_label,coin,market_type,slug,side,size_usd,price,trade_timestamp,gap_at_time,gap_seconds_diff,both_sides_flag
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.010101,0.01,1772376885,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,sol,5m,sol-updown-5m-1772376600,UP,0.24,0.01,1772376885,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.05,0.01,1772376885,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.10101,0.01,1772376885,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.4734,0.01,1772376885,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.0517,0.01,1772376885,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.28202,0.01,1772376885,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.07,0.01,1772376883,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.0493,0.01,1772376883,,,False
2026-03-01T14:55:28.090179+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772376600,UP,0.4,0.01,1772376883,,,False
